Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Category,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rates,Education Index
South Sudan,2017,1st,113.9,10,9.7,9.7,10,8.9,6.4,10,10,9.5,9.9,10,9.8,Alert,8.38,8.25,5.48,6.461212421,1.22,8.21
Somalia,2017,2nd,113.4,9.4,10,8.9,8.9,9.3,9.8,9.3,9,9.5,10,10,9.3,Alert,8.3,6.62,1.5,6.71150926,1.58,7.34
Central African Republic,2017,3rd,112.6,9,9.7,9.1,9.1,10,7.5,9.7,10,9.7,9,10,9.8,Alert,7.62,7.45,0.8,7.354100276,1.38,6.66
Yemen,2017,4th,111.1,9.8,9.5,9.3,9.3,8.2,7.3,9.7,9.6,9.7,9.3,9.4,10,Alert,4.78,7.47,0.36,8.822893374,1.97,4.54
Sudan,2017,5th,110.6,9,9.7,10,8.5,7.4,8.9,9.8,8.9,9.6,9.3,9.8,9.7,Alert,4.7,5.97,1.66,0.987494575,7.17,3.87
Syria,2017,5th,110.6,9.8,9.9,9.8,8.1,7.7,8.4,9.9,9.2,9.8,8.2,9.8,10,Alert,4.9,6.26,0.74,0.976390741,5.98,4.57
Congo Democratic Republic,2017,7th,110,9,9.8,10,8.4,8.4,6.6,9.6,9.5,9.8,9.4,10,9.5,Alert,6.47,7.42,5.04,6.270738289,2.29,7.04
Chad,2017,8th,109.4,9.4,9.8,8,8.5,9.1,8.8,9.1,9.7,9.1,10,9.6,8.3,Alert,3.7,4.91,1.28,1.211863462,9.77,3.38
Afghanistan,2017,9th,107.3,10,8.6,8.4,8.3,7.5,8.2,9.1,9.9,8.5,9.3,9.8,9.7,Alert,4.88,5.71,1.56,6.607025891,1.42,6.77
Iraq,2017,10th,105.4,10,9.6,9.6,6.6,7.3,7.7,9.5,8.2,8.7,8.6,9.9,9.7,Alert,5.99,6.73,2.94,3.279669787,2.53,5.06
Haiti,2017,11th,105.3,7.7,9.6,6.5,8.7,9.8,8.8,9.7,9.7,7.6,9.5,7.7,10,Alert,4.15,5.45,0.66,3.620775823,6.74,3.46
Guinea,2017,12th,102.4,8.8,9.6,8.6,9.2,7.7,7.4,9.6,9.5,7.7,8.7,8.2,7.4,Alert,8.94,8.32,1.36,4.80505796,1.68,8.25
Nigeria,2017,13th,101.6,9.2,9.6,9.2,8,8.6,7.2,8.6,9.2,8.9,9.1,7.5,6.5,Alert,8.74,5.63,0.64,5.909087988,2.55,8.04
Zimbabwe,2017,13th,101.6,8.1,9.8,7.3,8.6,8.5,7.9,9.2,8.9,8.2,9.1,8.5,7.5,Alert,7.62,7.91,0.7,2.674599212,0.88,6.59
Ethiopia,2017,15th,101.1,8.4,8.7,9.1,7,6.5,7.6,8.2,8.8,9,9.8,9.3,8.7,Alert,9.09,8.17,1.12,3.02341731,0.47,8.71
Guinea Bissau,2017,16th,99.5,8.9,9.6,5.2,8.3,9.1,8.1,9.2,9.4,7.5,8.6,7.3,8.3,Alert,3.41,7.43,0.8,6.547982176,0.49,1.99
Burundi,2017,17th,98.9,8.8,8.2,7.9,8,7.2,6.3,8.8,8,8.8,9.3,8.6,9,Alert,6.25,6.55,1.52,4.7125103,4.32,5.37
Pakistan,2017,17th,98.9,9.1,8.9,10,6.9,6.5,7.2,8.1,7.7,8,8.4,8.7,9.4,Alert,8.15,7.63,2.32,2.553191856,0.63,7.06
Eritrea,2017,19th,98.1,7.2,8.1,7.1,8.1,7.8,8.3,9.3,8.4,9,8.8,8.3,7.7,Alert,7.2,7.25,2.06,6.868498564,4.93,6.38
Niger,2017,20th,97.4,8.7,8.9,8,7.5,8.5,7.5,7.3,9.5,6.5,9,7.9,8.1,Alert,7.46,7.3,2.24,3.888357917,1.15,7.21
Cote dIvoire,2017,21st,96.5,7.7,9.1,8.1,6.6,8,7.3,7.9,8.7,7.9,8.2,7.8,9.2,Alert,4.59,6.43,6.16,3.110940334,0.66,4.43
Kenya,2017,22nd,96.4,8.3,8.9,8.9,6.9,7.9,7.6,7.6,8,7,8.9,8.3,8.1,Alert,3.92,5.8,2.1,2.611708879,6.54,2.54
Libya,2017,23rd,96.3,9.6,9.4,8.1,8.5,5.6,6.3,9.5,7,9.1,4.9,8.3,10,Alert,7.57,5.48,0.14,7.803490816,9.26,7.44
Uganda,2017,24th,96,7.1,8.6,8.5,5.5,7.4,7.6,8.6,8.3,7.8,9,9.3,8.3,Alert,4.14,6.27,1.8,3.705258045,3.7,2.67
Myanmar,2017,35th,95.7,8.9,8.3,9.7,5.9,7.7,6.4,8.6,8.5,8.9,6.8,8.7,7.3,Alert,6.11,7.14,1.4,4.065906245,2.66,4.54
Cameroon,2017,26th,95.6,7.9,9.1,8.3,6.6,7.6,7.6,8.4,8.7,7.5,8.1,8,7.8,Alert,7.33,6.9,0.86,7.468031862,0.37,6.35
Liberia,2017,27th,93.8,6.4,8.3,5.8,8.1,8.4,7.2,6.8,9.3,6.5,9,8.7,9.3,Alert,5.45,6.4,0.62,4.33357689,3.55,4.66
Mauritania,2017,28th,93.7,6.9,8.8,7,7.7,6.8,6.9,8,9,7.9,8.7,8,8,Alert,7.69,7.48,2.14,2.06014394,2.87,6.99
Congo Republic,2017,29th,93.4,7.2,6.7,7.2,7,8.1,7.4,8.9,9.5,8.5,8.1,7.7,7.1,Alert,6.86,6.89,5.48,3.607176919,1.43,7.11
North Korea,2017,30th,93.3,8.3,8.5,5.8,8.9,7.5,4.4,10,8.6,9.4,7.7,4.4,9.8,Alert,3.98,5.58,0.04,4.645139794,5.95,3.85
Mali,2017,31st,92.9,9,4.9,7.4,7.7,7.4,8.5,6.1,8.8,7.3,8.5,7.9,9.4,Alert,9.07,8.22,3.04,4.045947908,4.26,8.83
Angola,2017,32nd,91.1,6.5,7.2,7.5,6.4,9.9,6.6,8.6,9.1,7.3,9.5,7.1,5.4,Alert,9.04,7.08,0.96,6.73564017,0.89,8.43
Nepal,2017,33rd,91,6.5,8.8,9.4,7.5,6.7,6.5,7.4,7.2,7.7,8.6,7.8,6.9,Alert,6.43,7.3,0.82,1.75849232,2.24,5.28
Rwanda,2017,34th,90.8,6.2,8,9.4,6,8.3,7.4,7.1,7.4,7.2,8,8.3,7.5,Alert,7.82,6.86,0.72,4.583929933,3.92,8.01
Timor-Leste,2017,35th,90.5,7.2,8.3,6.5,7.9,6.8,7.6,6.9,8.5,5.3,9.7,6.3,9.5,Alert,9.22,6.88,1.28,2.241753398,3.1,8.96
Egypt,2017,36th,89.8,8.1,8.8,8.8,8.2,6,4.7,8.2,4.9,9.8,7.1,7.3,7.9,Alert,8.92,7.28,1.38,4.179818382,3.93,7.79
Gambia,2017,37th,89.4,6.3,7.8,3.8,8.4,6.9,8.3,8.6,7.8,9.4,8.3,6.8,7,Alert,4.19,4.89,0.26,4.412004875,5.94,4.14
Sierra Leone,2017,38th,89.3,4.3,7.8,6.2,8.6,8.3,8.5,6.9,8.8,5.3,9,7.7,7.9,Alert,8.76,8.27,1.06,3.579069164,1.48,7.89
Bangladesh,2017,39th,89.1,7.6,9.3,8.7,5.8,6.7,7.8,7.8,8.1,7.4,7.5,6.6,5.8,Alert,6.75,7.25,2,3.65272859,1.6,5.85
Mozambique,2017,40th,89,6.7,6.6,5.4,8,8.8,8,6.5,9.7,5.6,9.9,5.8,8,Alert,7.44,6.53,3.54,6.990285427,1.36,7.99
Djibouti,2017,41st,88.9,6.5,7.3,6.5,7,7.9,5.4,8.2,7.9,7.8,8.4,7.3,8.7,Alert,6.71,7.41,3.82,4.246985033,1.92,6.31
Swaziland,2017,42nd,88.8,6.3,6.8,3.4,9.7,8.2,7.2,8.8,8.1,9.1,9.4,4.7,7.1,Alert,8.91,6.97,3,4.287560147,0.33,8.6
Lebanon,2017,43rd,88.2,8.7,9.3,8.5,6.4,5.6,5,7.6,5.7,7.4,5.6,9.3,9.1,Alert,7.99,6.86,1.06,3.784170093,2.21,7.94
Burkina Faso,2017,44th,88,8.4,7.8,4.5,6.3,8.2,7.5,7.1,8.7,6.1,9.3,6.6,7.5,Alert,7.54,7.01,0.86,6.87763629,5.65,6.52
Malawi,2017,44th,88,4.8,8.1,5.6,8.4,8.3,7.9,6.4,8.6,6.2,9.7,5.8,8.2,Alert,5.59,7.29,6.84,6.560484423,1.78,4.84
Zambia,2017,46th,87.8,4.6,6.2,5.9,7.9,9.2,7.9,7.7,7.9,7.4,9.5,6.4,7.2,Alert,5.39,6.29,1.54,6.031659188,0.37,5.44
Sri Lanka,2017,47th,86.6,7.4,8.8,9,5.4,7.1,7.7,6.9,5.1,8.3,6.2,8.4,6.3,Alert,5.76,6.1,1.56,2.707636235,3.76,5.16
Papua New Guinea,2017,48th,86.4,7.2,7.1,6.3,6.1,9.1,7.4,6.8,9,7.6,7.8,5.2,6.8,Alert,4.78,8.22,6.2,5.685179866,3.68,3.05
Iran,2017,49th,85.8,7.5,9.6,9.3,6.4,5.6,6.5,9,4.5,9.5,4.9,6.5,6.5,Alert,7.09,7.31,1.22,1.999985818,2.71,6.14
Cambodia,2017,50th,85.7,6.7,8.3,6.9,5.7,6.6,7.6,8.3,7.8,7.7,7,5.7,7.4,Alert,9.2,4.98,1.26,5.484258037,0.62,8.12
Equatorial Guinea,2017,51st,85,6.5,8.2,6.3,6.5,8.7,5.5,9.8,7.9,9.2,7.5,3.9,5,Warning,9.42,5.21,0.98,3.996892867,6.16,9.07
Comoros,2017,52nd,84.8,6.7,8,5.4,8,7.5,7.4,7.3,8.2,6.3,7.3,4.7,8,Warning,7.81,7.39,0.32,1.753917162,1.05,7.56
Solomon Islands,2017,52nd,84.8,5.9,8.2,6.5,7.1,9,6.9,6.8,7.7,5.2,8.5,4.4,8.6,Warning,8.87,8.18,3,2.96070291,0.35,8.2
Philippines,2017,54th,84.4,9.7,8,7.9,5.5,5.7,6.5,7,6.7,6.6,7.5,6.9,6.4,Warning,7.12,7.37,1.46,4.189562343,1.49,6.12
Madagascar,2017,55th,84,7.1,7.8,4.1,7.6,9.1,6.7,7.1,9.1,5.6,9.1,3.9,6.8,Warning,5.63,6.97,0.74,3.950666316,5.54,4.55
Togo,2017,56th,83.9,6.5,7.6,4.6,6.4,8.2,7.5,7.8,8.2,6.7,7.8,6.6,6,Warning,7.49,6.31,0.66,6.108295478,0.93,6.43
Guatemala,2017,57th,83.1,7.6,7.1,8.5,5.5,8.1,7.3,6.5,7.5,7.2,7,5.6,5.2,Warning,5.89,6.87,5.62,1.727318724,3.08,4.31
Venezuela,2017,58th,82.9,7.3,8.2,7.2,7.3,6.7,5.5,8.5,7.7,8.9,5.6,4.6,5.4,Warning,7.94,7.78,1.12,6.504403415,0.31,7.69
Laos,2017,59th,82.4,5.5,8.3,6.6,5.2,6.6,7.7,9.1,7,7.9,7.3,5.1,6.1,Warning,4.66,5.92,0.46,3.519697208,6.85,3.86
Senegal,2017,60th,82.3,6.2,6.6,6.4,7.4,7.4,8,4.7,7.5,6,8.1,7.3,6.7,Warning,5.09,8,0.84,7.914587875,0.22,4.38
Tajikistan,2017,61st,81.8,6.7,8.4,7.4,7.3,4.8,6.2,9.1,5.6,8.2,7.9,4.3,5.9,Warning,6.41,7.64,0.88,3.846536846,3.11,6.49
Lesotho,2017,62nd,81.7,6.2,7.3,3.9,8.1,8.1,8,5.9,8.1,5,8.5,4.8,7.8,Warning,8.31,8.1,2.12,3.827410803,0.74,7.61
Uzbekistan,2017,63rd,81.5,7.1,8.8,7.1,6.3,6.9,6,9.5,4.9,9.2,5.6,5.5,4.6,Warning,6.61,6.75,3.54,4.666048411,3.4,6.56
Turkey,2017,64th,80.8,8.3,9.1,10,4.6,5.7,3.9,7.6,4.4,7.7,4.9,9.2,5.4,Warning,9.24,7.98,2.94,2.734980458,0.32,9.32
Kyrgyz Republic,2017,65th,80.3,6.5,8,8.4,7,5.9,7,7.7,5.1,7.5,5.5,5.3,6.4,Warning,7.13,7.54,3.84,2.877063333,1.15,5.99
Tanzania,2017,65th,80.3,5.5,5.7,5.2,6.2,7.1,7.6,5.9,8.6,5.9,8.7,6.7,7.2,Warning,7.19,7.46,0.74,7.055582719,6.61,6.3
Russia,2017,67th,79.2,8.9,8.1,8.8,5.2,6.2,4,8.5,4.2,9.2,4.6,5.8,5.7,Warning,5.41,6.03,1.68,3.945665465,4.66,5.15
Honduras,2017,68th,79.1,7.3,6.8,5.9,6.4,7.7,6.4,6.8,6.8,6.9,6.3,4.3,7.5,Warning,6.17,8.26,1.62,7.773453623,5.15,6.56
Colombia,2017,69th,78.9,6.9,7.6,7.3,4.2,7.6,6.2,6.3,5.9,7,6.2,7.7,6,Warning,9.07,8.36,1.22,5.312460228,0.54,8.09
Israel and West Bank,2017,69th,78.9,6.9,8.1,10,3.8,6.8,3.8,6.4,4.8,7.5,6,7.3,7.5,Warning,8.6,8.05,1.52,3.130576172,0.39,8.19
Jordan,2017,71st,78.7,5.7,6.9,8,6.4,5.4,4.2,6.3,4.2,7.9,6.5,9.6,7.6,Warning,7.35,6.02,1.28,2.752392017,1.29,6.16
India,2017,72nd,77.9,7.4,7.3,8.3,5.1,7,6.1,4.7,7.4,6,7.9,5.3,5.4,Warning,6.81,7.07,1.58,1.613166756,2.26,5.82
Benin,2017,73rd,77.6,6.2,6.7,3.4,6.6,7.6,7.4,5.4,8.7,5.2,8.3,5.5,6.6,Warning,6.83,7.44,0.96,4.984945905,7.92,5.31
Nicaragua,2017,74th,77.4,5.6,7.1,6.5,5.7,8,8.1,7.9,6.7,5.2,5.3,4,7.3,Warning,6.78,6.33,1.08,2.078150639,3.97,6.08
Ecuador,2017,75th,77.3,6.8,8.2,7.3,6,6.7,5.8,6.5,6.5,5,6.5,5.7,6.3,Warning,8.78,7.59,1.6,6.180724141,9.79,8.64
Fiji,2017,76th,76.9,7.1,7.9,6.9,6.5,6.3,8.2,6.9,5,6.9,4.9,3.1,7.2,Warning,8.43,8.11,1.54,0.965486355,0.23,6.95
Algeria,2017,77th,76.8,7.2,7.1,7.1,6.6,6.6,5.8,6.9,6,6.6,5.2,6.8,4.9,Warning,8.56,7.62,1.54,2.224001855,0.29,8.75
Bolivia,2017,77th,76.8,6.5,8,6,5.4,8.6,7,6.5,6.8,6,6.3,3.9,5.8,Warning,7.37,7.43,2.2,1.626150328,2.24,6.5
Georgia,2017,79th,76.5,6.8,9.1,7.9,5.5,5.5,4.9,8.3,4.3,5.6,3.7,7.5,7.4,Warning,8.24,7.49,2.54,3.729984167,0.17,8.17
Micronesia,2017,80th,76.4,4.6,5.6,4,8.8,8.3,9.8,5.5,6,3.3,7.1,3.9,9.5,Warning,7.79,6.57,2.02,4.055517258,1,8.07
Azerbaijan,2017,81st,76.3,6.2,7.9,6.5,4.1,5.9,4.3,8.8,5.4,8.5,4.6,7.7,6.4,Warning,6.78,7.46,1.62,7.196564834,1.5,6.27
Thailand,2017,82nd,76.2,9,9.4,8.5,3.3,5.3,4.7,7.5,4.4,8,6.4,5.9,3.8,Warning,7.96,8.13,1.24,4.165432165,0.85,6.04
Bhutan,2017,83rd,76,4.5,7.5,7.9,4.7,6.1,7.2,4.3,6.1,6.6,6.1,7,8,Warning,8.87,8.1,2.8,4.326981178,0.33,8.09
Morocco,2017,84th,74.9,5.8,6.6,7.7,4.8,6.2,8.2,6.7,5.2,6.8,4.8,6.1,6,Warning,4.06,5.77,0.82,5.775291018,6.68,3.16
China,2017,85th,74.7,5.9,7.2,7.9,4.4,7.3,4.9,8.6,5.7,8.5,6.7,4.9,2.7,Warning,8.34,7.98,2.24,3.746565465,0.16,8.68
Maldives,2017,86th,74.4,6.4,8,4.8,5.9,3.6,6.2,8.5,5.6,8.2,6,4.7,6.5,Warning,5.4,5.43,0.46,3.373417892,6.36,4.03
Turkmenistan,2017,86th,74.4,6.3,7.8,6.6,4.9,6.7,5.1,9.7,5.6,8.7,5.4,3.5,4.1,Warning,8.27,7.69,1.74,4.009461538,2.39,7.29
